letter,Term,Definition,Committee,lastRevision
G,Guideline,"Recommended practice that allows some discretion or leeway in its interpretation, implementation, or use.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
G,Gullied land,"Areas where all diagnostic soil horizons have been removed by water, resulting in a network of V-shaped or U-shaped channels. Some areas resemble miniature badlands. Generally, gullies are so deep that extensive reshaping is necessary for most uses.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
G,Gun cotton,Nitrocellulose.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
G,Gunpowder,See black powder.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
G,Gunshot Residue (GSR),"Also referred to as Cartridge-case Discharge Residue (CDR), or Firearm Discharge Residue (FDR). Residues formed during the discharge of a firearm. In the context of this method, GSR is the inorganic and metallic residues largely originating from the ammunition that has been discharged but may include contributions from the firearm and previous ammunitions discharged from the firearm.",Gunshot Residue (Chemistry / Instrumental Analysis),2018-02-23
G,Gypsan,A cutan composed of gypsum.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
G,Gypsum,"CaSO4•2H2O. The common name for calcium sulfate, used to supply calcium to ameliorate soils with a high exchangeable sodium fraction.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
G,Gyttja,Sedimentary peat consisting mainly of plant and animal residues precipitated from standing water.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Habit,A recurrent pattern of behavior acquired through experience and made more or less permanent by various reinforcing events.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Habituation,The lessening or disappearance of a response that was once elicited by the stimulus with repeated presentation of the same or closely related stimulus.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Halloysite,A member of the kaolin subgroup of clay minerals. It is similar to kaolinite in structure and composition except that hydrated varieties occur that have interlayer water molecules. Halloysite usually occurs as tubular or spheroidal particles and is most common in soils formed from volcanic ash.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hand Printing,A style of writing in which the letters are not joined and the writing instrument is lifted after most strokes.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
H,Handwritten Item,"An item bearing something written by hand (for example, cursive writing, hand printing, signatures) Discussion – As used in this standard “handwriting” and “handwritten” are generic terms. Writing is generally, but not invariably, produced using the hand, and may be the result of some other form of direct manipulation of a writing or marking instrument by an individual.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
H,Haploid,"The quality of a cell or organism having a single set of chromosomes.  Humans are diploid, having two sets of chromosomes, one from each parent.  In humans, only egg and sperm cells are haploid. A mitochondrion is a haploid organelle.",Biology (Biology / DNA),2018-02-23
H,Haplotype,"A set of linked DNA variations, or polymorphisms, that tend to be inherited together (e.g. commonly used for human Y-chromosome or mitochondrial analysis).  A haplotype can refer to a combination of alleles or to a set of single nucleotide polymorphisms (SNPs) found on the same chromosome.",Biology (Biology / DNA),2018-02-23
H,Hardness,"He resistance of a mineral to scratching; it is a property by which minerals may be described, relative to a standard scale of ten minerals known as the Mohs scale, to the technical scale of fifteen minerals, or to any other standard.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hardpan,"A general term for a relatively hard, impervious, and often clayey layer of soil lying at or just bleow the surface, produced as a result of cementation of soil particles by precipitation of relatively insolubel materials such as silica, iron oxide, calcium carbonate, and organic matter, offering exceptionally great resistance to digging or drilling, and permanently hampering root penetration and downward movement of water.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hardpan,A soil layer with physical characteristics that limit root penetration and restrict water movement.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hardy-Weinberg equilibrium (HWE),"A state in which allele and single locus genotype frequencies do not change (on average) from one generation to the next in a population.  When alleles in a population are independent, allele and genotype frequencies are related through the Hardy-Weinberg principle: for a locus with 2 alleles P and Q at frequencies of p and q, homozygotes for P are found at frequency p2, homozygotes for Q are found at a frequency of q2, and heterozygotes are found at a frequency of 2pq. Use of the theta correction removes the need to assume Hardy-Weinberg equilibrium in the population for which a frequency database is constructed. See Theta Correction.",Biology (Biology / DNA),2018-02-23
H,Hash,A string of numerical values used to substantiate the integrity of digital evidence or for inclusion/exclusion comparisons against known value sets or both.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
H,Hash value,A string of numerical values used to substantiate the integrity of digital evidence or for inclusion/exclusion comparisons against known value sets or both.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
H,Hashing function,An established mathematical calculation that generates a numerical value based on input data.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
H,Hasty search,A quick search of the defined area.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Hazard,The potential for a substance to cause adverse effects.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Head shops,"Retail outlets specializing in drug paraphernalia (e.g., pipes to smoke cannabis) used for the consumption/ingestion of recreational drugs.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Headspace,The space above a solid or liquid in a container.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Headspace,The space located above a material that includes the vapors produced by the liquid or solid material.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Headspace analysis,Practice for removing small quantities of volatile compounds from samples by sampling and directly analyzing the headspace.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Headspace concentration,See dynamic headspace concentration or passive headspace concentration.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Headspace of target substance,The vapor surrounding a target substance.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Health and Safety Plan (HASP),"A HASP formally identifies the potential health and safety risks and countermeasures associated with operational unit practices. It addresses practices put in place to help prevent illness or injury. HASPs generally include identification of potentially unsafe environments, the use of personal protective equipment (PPE), health or medical countermeasure practices, ingress and egress practices, and method for assessing unsafe situations.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
H,Health Care Facilities (HCF),"HCFs include public and private hospitals, nursing homes, retirement facilities, prison health clinics, public health clinics, and mental health hospitals.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
H,Heat,"A form of energy characterized by molecular motion. Heat may be transferred by conduction, convection, or radiation.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heat capacity,See specific heat capacity.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heat flux,Is the amount of heat released per unit time by a heat source.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heat of ignition,The heat energy that brings about ignition.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heat release rate,The amount of heat released per unit time by a heat source.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heavy metals,"Those metals which have densities >5.0 Mg m-3. In soils these include the elements Cd, Co, Cr, Cu, Fe, Hg, Mn, Mo, Ni, Pb, and Zn.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heavy petroleum distillate (HPD),"A general class of combustible liquids which includes kerosene, diesel fuel, heating fuels, some jet fuels and some charcoal lighter fluids.  ASTM E1618-11 ""Standard Test Method for Ignitable Liquid Residues in Extracts from Fire Debris Samples by Gas Chromatography-Mass Spectrometry"" provides the minimum criteria for the identification of heavy petroleum distillates in fire debris.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heavy soil,"A soil with a high content of fine separates, particularly clay.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heavy soil,"A soil with a high content of the fine separates, particularly clay, or one with a high drawbar pull and hence difficult to cultivate, especially when wet. See also fine texture.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Helium,"A colorless, odorless, inert, noble gas commonly used as a carrier gas in gas chromatography. He; mw 2.0026; CAS [7440-59-7].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hematite,Fe2O3. A red iron oxide mineral that contributes red color to many soils.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heptane,"A normal alkane, colorless volatile flammable liquid obtained from petroleum and may be used as a solvent in extractions and in determining octane number. C7H16; mw 100.20; bp 98.4˙C; fp -4˙C (25˙F); flam lim 1.2-6.7%. CAS [142-82-5].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Herbal high,A recreational drug mixture consisting mainly of natural and/or synthetically derived compounds producing drug-like effects.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heredity,The transmission of genetic characteristics from one generation to the next.,Biology (Biology / DNA),2018-02-23
H,Hesitation,A pause in the writing without the instrument being lifted.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
H,Heterochromatin,Part of the chromosome that is tightly packed and  generally not transcribed.,Biology (Biology / DNA),2018-02-23
H,Heterogeneous,Media with properties whose variability are not uniform with space.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Heteroplasmy,The presence of more than one mitochondrial DNA (mtDNA) sequence or type within a single individual.,Biology (Biology / DNA),2018-02-23
H,Heterozygosity,A measure of the diversity of a locus in a population.,Biology (Biology / DNA),2018-02-23
H,Heterozygosity,The presence of different alleles at the same locus on the pair of homologous chromosomes; the probability that a given locus will be heterozygous in a randomly selected individual; a locus is said to have high heterozygosity when there is a high incidence within a population of individuals who have two different alleles at that locus.,Biology (Biology / DNA),2018-02-23
H,Heterozygote,An individual having different alleles at a particular genetic locus.,Biology (Biology / DNA),2018-02-23
H,Heterozygous balance,"The height/ area difference between the two peaks of a heterozygote. Mathematically, there are two definitions: a) The heterozygous balance is the peak height/area of the longer length allele divided by the peak height/area of the shorter length allele. b) The shorter peak height/ smaller area divided by the taller peak height/ larger area.  See also Peak height ratio.",Biology (Biology / DNA),2018-02-23
H,Heterozygous balance,The peak height or peak area ratio of two sister alleles at a heterozygous genetic locus; the expected balance between sister alleles is at or near a 1:1 ratio. See also Peak height ratio.,Biology (Biology / DNA),2018-02-23
H,Heuristic,"Process of reasoning by rules that are only loosely defined, generally by trial and error.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hexane,"A normal alkane, colorless volatile flammable liquid obtained from petroleum and may be used as a solvent in extraction. C6H14; mw 86.17; bp 69˙C; fp -18˙C; flam lim 1.2-7.5%; CAS [110-54-3].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hidden data sector,"In computer forensics, a sector in the current configuration of a drive that cannot be accessed by read and write commands without changing the drive configuration. DISCUSSION-Sectors in a host protected area would be hidden data sectors.",Digital Evidence (Digital / Multimedia),2018-02-23
H,Hide,The cured skin of an animal; commonly refers to a mammal.,Wildlife Forensics (Biology / DNA),2018-02-23
H,Hierarchy of control measures,"Ranking of measures taken to prevent or reduce hazard exposure according to effectiveness, from the most effective measures that eliminate hazards to the least effective, that achieve only limited protection.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,High explosive (HE),"A material that is capable of sustaining a reaction front that moves through the unreacted material at a speed equal to or greater than that of sound in that medium [typically 1000 m/sec (3000 ft/sec)]; a material capable of sustaining a detonation; sometimes abbreviated HE.              DISCUSSION – Examples of high explosives include cyclotetramethylene tetranitramine (HMX), pentaerythritoltetranitrate (PETN), and cyclo-trimethylene trinitramine (RDX).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,High explosive (HE),Generally a chemical substance or mixture capable of detonation.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,High order,Descriptive of an explosive that undergoes complete burning of the material at its maximum velocity.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,High order damage,A rapid pressure rise or high-force explosion characterized by a shattering effect on the confining structure or container and long missile distances.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,High Resolution mass spectrometer,"Instruments that can routinely achieve resolution of =5000 (full width at half mass determination, FWHM) and mass accuracy of =10ppm. For example, time of flight mass, and orbitrab instruments are high resolution instruments.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
H,High velocity projectile trauma,"Skeletal trauma produced by high velocity, rapid application of force over a relatively small surface area, typically by bullets from firearms but can result from any fast moving small object.",Anthropology (Crime Scene / Death Investigation),2018-02-23
H,HIPAA exemption,see exceptions at 45 CFR 164.512(g),(Not Provided),NA
H,Histogram,"A graph of a frequency distribution in which rectangles with bases on the horizontal axis are given widths equal to the class intervals and heights equal to the corresponding frequencies.   DISCUSSION—In digital images, a histogram is frequently used to document the number of pixels of a given brightness value (for example, 0-255).","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
H,Histological examination,assessment of materials at the microscopic or cellular level,(Not Provided),NA
H,Histological examination,Microscopic or cellular level assessment of skeletal materials.,Anthropology (Crime Scene / Death Investigation),2018-02-23
H,Histological examination,Assessment of materials at the microscopic or cellular level.,Odontology (Crime Scene / Death Investigation),2018-02-23
H,Historic Calibration,"A single point or multi-point calibration that was performed and stored prior to the preparation, extraction, and/or analysis of the unknown and quality control samples.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
H,Histosols,"Organic soils that have organic soil materials in more than half of the upper 80 cm, or that are of any thickness if overlying rock or fragmental materials that have interstices filled with organic soil materials. (An order in the U.S. system of soil taxonomy.) See also peat.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hit,A complete or partial correspondence between the DNA profile from a crime scene and a DNA profile found on a DNA database; termed a ‘cold hit’ if the connection made is in the absence of any prior investigative leads; a “hit” to an individual in a database is not confirmation that the individual is the source of the DNA found at the crime scene.,Biology (Biology / DNA),2018-02-23
H,Hit,A confirmed match that aids an investigation and one or more of the case(s) involved in the match are unsolved.,Biology (Biology / DNA),2018-02-23
H,HMX,Octagen or cyclotetramethylene tetranitramine --a high explosive more powerful than RDX; it is made on its own or is found as a biproduct in the Bachman manufacturing process of RDX.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hoax,"A ""dummy"" device intended to appear as a bomb but not containing an explosive.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hoax device,"A ‘dummy’ device intended to appear as a bomb, but not containing any hazardous materials.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hobby fuse,See cannon fuse.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Holes,"The result of erosion of a footwear outsole or tire tread that is so extreme that it results in removal of the outer layers of the outsole or tread materials, often resulting in irregular edges.  These irregular edges are randomly acquired characteristics.  Random holes due to punctures are also randomly acquired characteristics.",Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
H,Holistic,Emphasizing the importance of the whole and the interdependence of its parts.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Holistic comparison,"In facial identification, a process of comparing faces by looking at the face as a whole and not the component parts in isolation.",Facial Identification (Digital / Multimedia),2018-02-23
H,Holocrystalline,"Said of the texture of an igneous rock composed entirely of crystals, i.e. having no glassy part.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Homemade explosives (HME),Any explosive not commercially manufactured. DISCUSION – Examples of homemade explosives include triacetone triperoxide (also known as acetone peroxide or TATP) and hexamethylene triperoxide diamine (HMTD).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Homemade explosives (HME),Used for any explosive not maufactured in a chemical plant.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Homemade explosives (HME),A combination of commercially available ingredients combined to create an explosive substance.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Homicide,"Death as a result of a volitional act committed by another person (injury, poisoning, etc).",MDI (Crime Scene / Death Investigation),2018-02-23
H,Homologous Chromosomes,"A pair of chromosomes containing the same linear gene sequences, each derived from one parent.",Biology (Biology / DNA),2018-02-23
H,Homologous series,"A series of organic compounds in which each successive member has one more CH2 group in its molecule than the next  preceding member.  For example CH3OH (methanol), C2H5OH (ethanol), C3H5OH (propanol), C4H7OH (butanol), etc form a homologous series.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Homologous trait,A characteristic shared by a common ancestor or precedent.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Homoplasmy,A cell or organism having identical (indistinguishable) copies of mitochondrial DNA or other measured genetic loci.,Biology (Biology / DNA),2018-02-23
H,Homozygote,An individual having the same (or indistinguishable) alleles at a particular locus due to the inheritance of the same allele from each parent.,Biology (Biology / DNA),2018-02-23
H,Homozygote threshold,A threshold used to assess the possibility of allelic drop-out at a heterozygous locus (below the threshold) vs. the presence of both homozygous alleles (above the threshold). See also Stochastic threshold.,Biology (Biology / DNA),2018-02-23
H,Homozygous,Having two identical or indistinguishable alleles at a particular genetic locus; a single peak is observed at an STR locus in an electropherogram.,Biology (Biology / DNA),2018-02-23
H,Honeycomb frost,"Ice in the soil in insufficient quantity to be continuous, thus giving the soil an open, porous structure permitting the ready entrance of water.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Horizon topography,Cross-sectional shape of the contact between horizons.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Horizonation,The development of horizons in soil as a result of a soil forming process or a combination of soil forming processes. See soil horizons.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Horn,"A mass of keratinized fibers, as in the horns on the snout of a rhinoceros. Such structures lack a bony core.",Wildlife Forensics (Biology / DNA),2018-02-23
H,Horn,"The paired outgrowths from the skulls of Bovidae (cattle, goat, antelopes) and the similar structures of pronghorn (Antilocapridae). Horns consist of a permanent bony core termed the horn core, and a hard keratin covering termed the horn sheath. Together, a horn core and horn sheath form a horn.",Wildlife Forensics (Biology / DNA),2018-02-23
H,Hornblende,An amphibole type ferromagnesian silicate.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hospital Autopsy,"An autopsy authorized by the next-of-kin to evaluate any disease that may be present, determine efficacy of care and serve as a Quality Assurance tool.",MDI (Crime Scene / Death Investigation),2018-02-23
H,Hot spot,"In facial identification, a bright area of light reflecting on a face that reduces the visibility of features.",Facial Identification (Digital / Multimedia),2018-02-23
H,Hue,"A measure of the chromatic composition of light that reaches the eye; one of the three variables of color. See also Munsell color system, chroma, and value, color.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Human distractor,Non-target person placed within a search area.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Human scent evidence,A particular person's scent collected for use with trailing canines for investigative purposes in criminal cases.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Human scent evidence canine,A dog trained to locate and indicate items in question by means of detecting human scent.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Human target,Individual that laid a track/trail for a canine to follow to the exclusion of all other trails.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Humus,That more or less stable fraction of the soil organic matter remaining after the major portion of added plant and animal residues have decomposed.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Husbandry,"The science of providing for the needs of an animal including housing, daily care, feeding, exercise, and meeting the behavioral / mental / emotional needs of the animal.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
H,Hybrid,"Organism that is a product of reproduction between two different, but closely related species.",Wildlife Forensics (Biology / DNA),2018-02-23
H,Hydrocarbon,"An organic chemical compound composed exclusively of carbon and hydrogen atoms.   The major classes of hydrocarbons are Aliphatic hydrocarbons (alkanes, alkenes, alkynes, and unsaturated acyclic terpenes), Cyclic hydrocarbons (Cyclic alkanes, cyclic alkenes,  and cyclic alkynes), Aromatic (single ring benzene compounds, double ring naphthalene compounds, and triple ring anthracene compounds), and Cyclic terpenes (both monocyclic and dicyclic).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydrogen,"A colorless, odorless, and highly flammable gas sometimes used as a carrier gas in gas chromatography. It forms only water upon combustion in air. H2; mw 2.015; density 0.069 (air = 1); flam lim 4-75%. CAS [1333-74-0].",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydrogen bonding,The manner of interaction between complementary bases during nucleic acid hybridization that involves the highly directional attraction of an electropositive hydrogen atom to an electronegative oxygen or nitrogen atom; adenine forms two hydrogen bonds with thymine and cytosine forms three hydrogen bonds with guanine.,Biology (Biology / DNA),2018-02-23
H,Hydrogenation,A chemical reaction that adds hydrogen to a substance through the direct use of gaseous hydrogen.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydrolysis Control,A positive control containing a conjugated form of the analyte(s) that is used to monitor the efficiency of the hydrolysis procedure.,Toxicology (Chemistry / Instrumental Analysis),2018-02-23
H,Hydrophobic soils,"Soils that are water repellent, often due to dense fungal mycelial mats or hydrophobic substances vaporized and reprecipitated during fire.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydroxy-aluminum interlayers,"Polymers of general composition [Al(OH)3-x]m+nx which are adsorbed on interlayer cation exchange sites. Although not exchangeable by unbuffered salt solutions, they are responsible for a considerable portion of the titratable acidity (and pH-dependent charge) in soils.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydroxyapatite,The naturally occurring mineral form of a calcium phosphorus compound.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hydroxy-interlayered vermiculite,"A vermiculite with partially filled interlayers of hydroxy-aluminum groups. It is normally dioctahedral in both the interlayer and the octahedral sheet of the vermiculite layer. It is common in the coarse clay fraction of acid surface soil horizons. It has intermediate cation exchange properties between vermiculite and chlorite. Synonyms are ""chlorite-vermiculite intergrade""; ""vermiculite-chlorite intergrade."" See also hydroxy-aluminum interlayers.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hypergolic material,Any substance that will spontaneously ignite or explode upon exposure to an oxidizer.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
H,Hypervariable,"A highly variable region of DNA, which can have many different alleles or sequences among individuals. making it useful for discriminating between individuals or samples.",Biology (Biology / DNA),2018-02-23
H,Hypervariable region 1 (HVI),"A section of the human mtDNA control region spanning nucleotide positions 16024-16365, that often differs among non-maternally related individuals.",Biology (Biology / DNA),2018-02-23
H,Hypervariable region 2 (HVII),"A section of the human mtDNA control region spanning nucleotide positions 73-340, that often differs among non-maternally related individuals.",Biology (Biology / DNA),2018-02-23
I,Identical by descent (IBD),Identical alleles that are copies of the same ancestral allele without mutation; this is a subset of identical by state (IBS).,Biology (Biology / DNA),2018-02-23
I,Identical by state (IBS),Identical alleles that may or may not be copies of the same ancestral allele.,Biology (Biology / DNA),2018-02-23
I,Identicator®,An inkless method of recording footwear impressions on white chemically treated paper.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
I,Identification,"An opinion by an examiner that the particular known footwear or tire was the source of, and made, the impression.  This is the highest degree of association expressed in footwear and tire impression examinations.",Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
I,Identification,"A task where the biometric system searches a database for a biometric reference matching a submitted biometric sample and, if found, returns a corresponding identity and biometric references which can result in a biometric verification/authentication  i.e. access control system.",Facial Identification (Digital / Multimedia),2018-02-23
I,Identification,See Individualization.,Facial Identification (Digital / Multimedia),2018-02-23
I,Identification,A classification process intending to discriminate individual members of a set.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Identification,"In computer forensics, a process involving the search for, recognition and documentation of potential digital evidence.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Identification,"In facial identification, a task in which a biometric system searches a database for a reference matching a submitted biometric sample and, if found, returns a corresponding identity. (Compare individualization).","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Identification,The conclusion that the sources of two samples cannot be distinguished from each other.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Identification,"The practice of using comparative examination to deduce the taxonomic origin of an organism, its parts, or derivatives (e.g. taxonomic identification).",Wildlife Forensics (Biology / DNA),2018-02-23
I,Identification Review Committee (IRC),"A team of subject matter experts, which may include pathologists, anthropologists, geneticists, and investigators, is responsible for comparing the data for potential victim identification, reassociating fragmented remains, and ensuring all forensic analyses are complete and consistent.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
I,Identifying Characteristics,See Randomly acquired characteristics.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
I,Identity,"In facial identification, the collective set of biographic data, images, and templates assigned to one person within a biometric system.",Facial Identification (Digital / Multimedia),2018-02-23
I,Igneous rock,"Said of a rock or mineral that solidified from molten or partly molten material, i.e. from a magma; also, applied to processes leading to, related to, or resulting from the formation of such rocks. Igneous rocks constitute one of the three main classes into which rocks are divided, the others being metamorphic and sedimentary.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignitable liquid,"Any liquid or the liquid phase of any material that is capable of fueling a fire, including a flammable liquid, combustible liquid, or any other material that can be liquified and burned.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignitable liquid residue (ilr),Traces of ignitable liquids in fire debris samples.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignitable liquids,"Liquids that are capable of flaming combustion upon the addition of sufficient amounts of heat. Examples of such liquids include gasoline, kerosene, ethanol, and isopropanol, to name just a few. A liquid that is capable of burning often a petroleum-based product. Ignitable liquids may be flammable or combustible. Flammable liquids are those that have a flash point below 37⁰ C. A liquid fuel that is either flammable or combustible.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignitable liquids residues,The remaining portion of an ignitable liquid on a substrate after undergoing physical and/or chemical changes.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignitable material,A material capable of sustaining combustion.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignition,The initiation of combustion.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignition source,See competent ignition source.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignition temperature,Minimum temperature at which a substance can be ignited by piloted ignition. Differentiated from the autoignition temperature which does not require a pilot for ignition.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Ignition temperature,"The ignition temperature of a substance (solid, liquid, or gaseous) is the minimum temperature to which the substance exposed to air must be heated in order to start combustion.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Illite,"As a general term, refers to either a discrete non-expansible mica of detrital or authigenic origin or to the micaceous component of interstratified systems, as in illite-smectite. If used to refer to the species, it should meet the following requirements: a) The micaceous layers ideally are non-expansible; b) the octahedral sheet is dioctahedral and aluminous; c) the interlayer cation is primarily potassium; and (4) the composition deviates from that of muscovite in two main ways: 1) A phengitic component is present in which substitution of R2+ cations for octahedral Al is balanced by addition of tetrahedral Si beyond the ideal Si:Al ratio of 3:1 for muscovite. This substitution gives the octahedral sheet an overall negative charge of about 0.2 to 0.3 per formula unit. 2) Interlayer vacancies or water molecules amounting to about 0.2 to 0.4 atoms per formula unit are compensated by additional tetrahedral Si cations beyond those required by the phengitic component. Where reference is made to the species illite, a clear statement should be made to that effect in order to avoid confusion with the general usage.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Illite,"In soil taxonomy, the presence of a 1 nm x-ray diffraction peak and greater than or equal to 4% K2O is used to denote the presence of illite.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Illuvial horizon,A soil layer or horizon in which material carried from an overlying layer has been precipitated from solution or deposited from suspension. The layer of accumulation. See also eluvial horizon.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
I,Image,In computer forensics;  see bit stream duplicate.,"Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image,"In image and video analysis, an imitation or representation of a person or thing drawn, painted, or photographed.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
I,Image,"In computer forensics, to create a bit stream duplicate of the original data.",Digital Evidence (Digital / Multimedia),2018-02-23
